 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"241190 São Francisco do Oeste";-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;4
"241200 São Gonçalo do Amarante";7;6;12;2;6;2;3;1;4;1;4;4;3;5;1;4;4;69
"241210 São João do Sabugi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"241220 São José de Mipibu";3;4;6;5;4;5;6;4;2;4;-;1;1;2;4;1;3;55
"241230 São José do Campestre";1;2;-;1;3;2;1;1;-;-;-;-;1;1;-;1;2;16
"241240 São José do Seridó";-;-;-;1;-;-;-;-;-;-;-;2;1;1;-;-;-;5
"241250 São Miguel";-;1;2;1;1;1;1;2;-;4;-;2;3;1;3;2;2;26
"241255 São Miguel do Gostoso";-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"241260 São Paulo do Potengi";-;-;2;-;-;-;1;1;-;-;-;1;1;-;-;-;-;6
"241270 São Pedro";1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;4
"241280 São Rafael";-;1;1;-;-;-;-;3;-;-;-;-;-;-;-;-;1;6
"241290 São Tomé";2;-;1;2;-;1;-;-;2;-;1;1;3;1;-;-;-;14
"241300 São Vicente";-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3
"241310 Senador Elói de Souza";-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"241320 Senador Georgino Avelino";-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;3
"241030 Serra Caiada";-;-;2;1;1;1;2;-;1;1;-;1;1;3;-;-;-;14
"241330 Serra de São Bento";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;3
"241335 Serra do Mel";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;3
"241340 Serra Negra do Norte";1;-;-;-;-;-;1;1;1;-;1;-;-;-;1;-;-;6
"241350 Serrinha";1;-;-;1;3;-;1;-;2;1;-;-;1;-;-;-;-;10
"241355 Serrinha dos Pintos";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"241360 Severiano Melo";1;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;5
"241370 Sítio Novo";-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3
"241380 Taboleiro Grande";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"241390 Taipu";-;-;-;-;1;2;-;1;-;1;1;-;-;1;-;-;-;7
"241400 Tangará";2;-;1;3;1;3;2;2;3;-;-;3;-;-;1;1;-;22
"241410 Tenente Ananias";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;3
"241415 Tenente Laurentino Cruz";-;-;-;1;2;-;2;-;1;1;-;-;-;1;-;-;-;8
"241105 Tibau";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"241420 Tibau do Sul";-;-;1;1;-;2;-;-;-;-;3;-;-;-;1;1;-;9
"241430 Timbaúba dos Batistas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"241440 Touros";3;2;4;4;3;1;-;1;3;2;3;-;1;1;1;-;3;32
"241445 Triunfo Potiguar";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"241450 Umarizal";2;1;2;1;1;-;-;2;1;1;-;-;-;-;1;-;-;12
"241460 Upanema";2;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;1;8
"241470 Várzea";1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"241475 Venha-Ver";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"241480 Vera Cruz";-;-;-;1;1;-;2;1;-;-;1;1;-;1;-;-;-;8
"241490 Viçosa";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"241500 Vila Flor";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"240000 Município ignorado - RN";3;7;3;2;-;-;-;-;2;-;-;-;-;1;-;1;1;20
"250010 Água Branca";-;1;5;1;1;2;-;1;2;1;-;1;-;-;-;-;-;15
"250020 Aguiar";-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;3
"250030 Alagoa Grande";5;-;5;6;3;1;2;4;4;4;-;2;1;2;3;-;-;42
"250040 Alagoa Nova";4;4;2;7;2;2;3;3;1;1;1;1;-;-;1;1;-;33
"250050 Alagoinha";1;1;1;1;3;-;4;2;1;-;-;1;1;-;1;-;-;17
"250053 Alcantil";-;1;-;-;1;1;1;-;-;-;-;-;1;-;-;-;2;7
"250057 Algodão de Jandaíra";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;4
"250060 Alhandra";5;-;-;5;2;3;1;1;3;4;4;1;1;-;3;2;-;35
"250073 Amparo";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"250077 Aparecida";-;-;-;1;1;-;-;2;1;-;-;-;-;-;-;-;-;5
"250080 Araçagi";1;2;3;3;-;3;2;2;2;-;-;1;1;-;1;1;1;23
"250090 Arara";1;2;5;-;1;1;1;1;2;-;1;1;-;1;3;-;-;20
"250100 Araruna";2;4;3;1;1;-;6;2;3;1;1;-;3;-;2;-;2;31
"250110 Areia";6;5;9;10;3;4;3;3;2;1;-;2;1;-;1;2;1;53
"250115 Areia de Baraúnas";-;-;-;1;-;1;-;1;-;-;2;-;-;-;-;-;-;5
"250120 Areial";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;4
"250130 Aroeiras";1;1;3;1;3;4;-;-;2;1;1;4;1;2;3;-;-;27
"250135 Assunção";-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;4
"250140 Baía da Traição";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"250150 Bananeiras";4;2;4;4;2;4;2;2;2;1;2;2;-;-;2;1;-;34
"250153 Baraúna";-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;4
"250160 Barra de Santa Rosa";2;3;4;-;-;-;1;-;1;1;2;-;2;-;-;2;-;18
"250157 Barra de Santana";-;1;2;1;1;2;1;-;1;-;-;-;1;-;-;1;-;11
"250170 Barra de São Miguel";1;1;-;1;-;1;-;-;-;1;-;-;1;1;-;-;-;7
"250180 Bayeux";5;3;1;9;7;4;8;5;5;2;4;2;2;6;3;1;1;68
"250190 Belém";-;4;-;1;3;-;1;1;-;-;2;2;2;-;1;-;-;17
"250200 Belém do Brejo do Cruz";-;3;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;7
"250210 Boa Ventura";-;-;1;-;1;-;-;1;1;-;-;-;1;-;-;-;1;6
"250215 Boa Vista";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;3
"250220 Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"250230 Bom Sucesso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250240 Bonito de Santa Fé";1;-;-;-;-;-;3;-;1;-;-;-;1;-;1;-;-;7
"250250 Boqueirão";1;2;-;4;3;3;1;2;2;-;-;1;-;1;1;1;-;22
"250270 Borborema";-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"250280 Brejo do Cruz";-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;-;-;4
"250290 Brejo dos Santos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"250300 Caaporã";5;6;-;1;-;2;1;4;1;4;1;2;1;-;1;4;-;33
"250310 Cabaceiras";1;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;4
"250320 Cabedelo";1;2;2;2;2;4;2;1;3;2;3;4;-;2;-;1;1;32
"250330 Cachoeira dos Índios";2;-;2;1;1;1;-;-;1;-;-;-;-;1;-;-;-;9
"250340 Cacimba de Areia";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"250350 Cacimba de Dentro";4;-;3;3;1;2;4;1;1;1;1;-;-;1;1;1;1;25
"250355 Cacimbas";-;1;1;4;2;4;3;-;1;-;-;2;-;-;2;1;-;21
"250360 Caiçara";-;1;6;1;2;-;1;-;2;-;-;1;1;1;-;-;-;16
"250370 Cajazeiras";8;2;6;3;3;4;4;1;3;2;3;2;1;2;3;2;1;50
"250375 Cajazeirinhas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"250380 Caldas Brandão";2;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;6
"250390 Camalaú";2;-;-;1;1;1;-;1;2;-;1;1;-;1;2;-;1;14
"250400 Campina Grande";55;49;36;19;21;25;18;31;16;18;15;13;21;16;6;14;13;386
"250403 Capim";-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;5
"250407 Caraúbas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"250415 Casserengue";-;1;-;2;1;-;1;1;1;-;-;-;-;-;-;-;1;8
"250420 Catingueira";-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;1;-;5
"250430 Catolé do Rocha";2;6;2;4;3;2;1;-;3;3;-;-;1;-;-;1;-;28
"250435 Caturité";-;-;-;-;-;-;-;1;1;-;2;-;1;-;1;-;-;6
"250440 Conceição";-;2;1;1;1;2;-;2;-;1;1;-;1;-;1;-;1;14
"250450 Condado";-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;4
"250460 Conde";6;2;1;2;5;2;2;1;1;1;2;2;1;-;4;1;1;34
"250470 Congo";-;-;-;1;-;-;-;-;2;1;1;-;-;-;-;-;-;5
"250480 Coremas";2;2;1;4;3;2;2;-;1;1;2;1;1;-;-;-;-;22
"250490 Cruz do Espírito Santo";3;-;-;2;-;-;1;2;1;-;1;2;-;1;1;-;-;14
"250500 Cubati";1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;5
"250510 Cuité";4;3;1;1;1;1;-;-;1;-;-;-;1;2;1;-;-;16
"250523 Cuité de Mamanguape";-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;3
"250520 Cuitegi";-;6;6;-;1;-;-;-;1;-;1;-;-;-;-;-;1;16
"250527 Curral de Cima";-;5;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;9
"250540 Desterro";2;1;2;1;1;2;2;-;1;-;-;-;-;-;-;-;-;12
"250560 Diamante";1;-;-;1;1;2;-;1;1;-;-;-;-;-;-;-;-;7
"250570 Dona Inês";16;3;2;2;4;1;-;2;1;1;-;-;-;1;-;-;-;33
"250580 Duas Estradas";3;5;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;12
"250590 Emas";-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;4
"250600 Esperança";3;4;5;2;1;-;1;2;2;3;-;2;3;1;1;2;2;34
"250610 Fagundes";-;-;-;2;3;-;-;1;-;-;-;-;-;-;-;-;-;6
"250625 Gado Bravo";-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;5
"250630 Guarabira";2;3;8;6;7;3;5;4;1;2;5;5;2;-;1;-;2;56
"250640 Gurinhém";-;-;4;1;-;1;-;-;1;-;1;-;-;-;-;1;-;9
"250650 Gurjão";-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;4
"250660 Ibiara";-;1;-;-;-;2;-;-;1;1;-;-;-;-;1;-;-;6
"250260 Igaracy";-;1;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;4
"250670 Imaculada";-;3;5;1;1;1;1;-;-;-;1;-;-;1;-;1;-;15
"250680 Ingá";-;-;6;2;-;-;1;2;2;2;-;-;2;-;-;2;1;20
"250690 Itabaiana";4;1;-;4;-;4;1;1;1;1;-;1;-;-;1;2;1;22
"250700 Itaporanga";-;1;1;-;1;2;1;2;4;1;1;1;1;-;2;2;-;20
"250710 Itapororoca";3;4;3;1;-;-;1;1;1;2;1;1;1;-;-;2;1;22
"250720 Itatuba";3;3;-;2;-;-;1;1;1;-;1;-;-;1;2;1;-;16
"250730 Jacaraú";-;4;1;2;4;3;-;3;1;2;-;-;1;-;2;1;1;25
"250740 Jericó";3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;7
"250750 João Pessoa";48;29;35;39;39;34;31;30;30;12;29;32;31;31;17;18;23;508
"251365 Joca Claudino";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"250760 Juarez Távora";1;1;3;1;2;1;-;1;1;1;-;-;1;-;1;1;1;16
"250770 Juazeirinho";1;3;2;3;2;3;1;2;1;2;1;1;-;1;2;-;2;27
"250780 Junco do Seridó";-;1;1;1;1;-;1;-;1;-;-;1;1;1;-;1;-;10
"250790 Juripiranga";1;1;-;1;1;-;1;2;2;2;1;3;1;2;1;-;-;19
"250800 Juru";1;1;3;1;1;1;1;-;-;1;-;-;-;-;-;-;1;11
"250810 Lagoa";-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"250820 Lagoa de Dentro";-;1;4;4;2;-;1;-;-;2;-;1;-;-;-;-;-;15
"250830 Lagoa Seca";2;2;2;3;1;2;1;1;-;2;1;1;2;-;1;1;2;24
"250840 Lastro";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250850 Livramento";2;-;-;1;-;-;1;1;-;1;-;1;-;1;2;-;1;11
"250860 Lucena";-;-;-;-;2;2;-;-;1;1;1;1;1;1;1;1;1;13
"250870 Mãe d'Água";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;4
"250880 Malta";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"250890 Mamanguape";5;3;-;2;7;10;4;6;6;2;1;1;3;2;1;4;3;60
"250900 Manaíra";1;2;2;-;-;-;3;2;1;1;1;2;-;1;3;-;-;19
"250905 Marcação";-;1;1;1;1;1;-;-;2;1;2;-;-;-;1;-;1;12
"250910 Mari";4;2;1;-;1;3;1;4;2;1;1;-;2;-;2;1;-;25
"250915 Marizópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"250920 Massaranduba";1;-;3;1;-;1;-;-;1;-;-;1;1;-;2;-;-;11
"250930 Mataraca";-;-;-;1;-;1;1;2;-;-;2;2;-;2;-;-;1;12
"250933 Matinhas";-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;3
"250937 Mato Grosso";-;-;-;-;1;1;-;-;-;2;-;-;-;1;-;-;-;5
"250939 Maturéia";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"250940 Mogeiro";3;2;1;1;2;1;1;-;1;-;-;-;2;-;1;2;-;17
"250950 Montadas";-;1;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;5
"250960 Monte Horebe";-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;4
"250970 Monteiro";7;4;6;2;1;-;3;1;2;2;1;-;1;1;2;-;-;33
"250980 Mulungu";4;2;1;-;-;1;1;-;2;1;1;-;1;-;1;-;-;15
"250990 Natuba";3;1;2;1;2;2;-;1;1;-;-;-;-;-;-;-;-;13
"251000 Nazarezinho";-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;1;5
"251010 Nova Floresta";2;1;-;3;-;1;-;-;-;-;1;1;1;-;1;-;1;12
"251020 Nova Olinda";-;2;2;1;-;1;2;-;-;-;-;-;2;1;-;-;-;11
"251030 Nova Palmeira";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"251040 Olho d'Água";-;-;-;1;-;-;-;-;-;3;1;1;-;3;-;-;-;9
"251060 Ouro Velho";-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;3
"251065 Parari";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251070 Passagem";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251080 Patos";12;3;5;8;6;8;4;2;6;3;3;-;1;1;2;1;3;68
"251090 Paulista";-;-;-;-;1;-;-;1;1;-;1;-;-;1;-;1;-;6
"251100 Pedra Branca";-;2;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;5
"251110 Pedra Lavrada";1;-;-;1;1;3;-;-;-;-;-;-;1;-;1;-;-;8
"251120 Pedras de Fogo";4;-;-;2;1;3;2;3;1;-;2;3;1;-;1;1;-;24
"251272 Pedro Régis";-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;4
"251130 Piancó";2;-;-;2;1;-;-;1;-;3;1;-;1;1;-;1;-;13
"251140 Picuí";3;2;1;5;1;-;2;2;1;-;-;-;-;-;-;-;-;17
"251150 Pilar";2;1;1;-;1;2;1;-;1;-;-;1;-;2;1;1;1;15
"251160 Pilões";1;1;1;-;-;-;1;1;1;-;1;-;-;-;-;2;-;9
"251170 Pilõezinhos";1;2;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;7
"251180 Pirpirituba";2;-;1;1;2;1;-;1;-;-;1;-;-;-;-;1;-;10
"251190 Pitimbu";1;2;1;3;2;2;1;-;1;-;1;2;2;-;2;3;-;23
"251200 Pocinhos";-;2;-;-;1;2;-;1;1;-;1;-;-;2;1;1;-;12
"251203 Poço Dantas";-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;3
"251207 Poço de José de Moura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"251210 Pombal";4;-;3;1;4;2;2;1;1;1;-;2;2;-;1;-;-;24
"251220 Prata";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251230 Princesa Isabel";2;2;-;1;3;3;2;5;2;2;1;1;2;-;-;-;1;27
"251240 Puxinanã";-;1;-;-;-;2;-;1;-;1;1;1;2;-;-;-;-;9
"251250 Queimadas";4;2;2;2;2;3;3;3;3;3;2;2;4;3;-;2;-;40
"251260 Quixabá";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"251270 Remígio";2;4;4;-;2;1;-;-;2;-;3;-;2;-;1;-;1;22
"251274 Riachão";-;-;1;2;1;-;-;-;-;1;1;-;-;-;-;-;-;6
"251275 Riachão do Bacamarte";-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;4
"251276 Riachão do Poço";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251278 Riacho de Santo Antônio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"251280 Riacho dos Cavalos";-;-;2;1;-;-;1;-;-;-;1;1;1;1;-;1;-;9
"251290 Rio Tinto";2;3;5;3;1;1;1;2;4;1;-;1;1;2;-;1;-;28
"251300 Salgadinho";-;-;2;-;-;-;-;-;-;-;1;1;-;1;-;-;-;5
"251310 Salgado de São Félix";3;-;-;-;-;-;1;1;2;1;-;1;2;1;-;-;-;12
"251315 Santa Cecília";-;-;-;-;-;-;1;-;1;-;1;-;-;-;2;1;-;6
"251320 Santa Cruz";-;-;1;1;-;-;-;-;1;1;-;1;-;1;-;-;-;6
"251330 Santa Helena";1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;4
"251335 Santa Inês";-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;4
"251340 Santa Luzia";1;1;-;1;-;1;2;1;1;-;1;-;1;2;-;1;1;14
"251370 Santa Rita";20;27;11;9;10;10;4;7;4;9;9;8;8;6;8;4;3;157
"251380 Santa Teresinha";-;-;-;-;1;2;-;1;-;1;1;-;-;-;1;-;-;7
"251350 Santana de Mangueira";1;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;5
"251360 Santana dos Garrotes";-;4;1;-;1;3;-;-;-;-;1;-;-;-;-;-;-;10
"251385 Santo André";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"251392 São Bentinho";-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;4
"251390 São Bento";5;2;2;-;-;-;2;1;-;1;-;-;1;-;2;3;1;20
"251396 São Domingos";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"251398 São Francisco";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;3
"251400 São João do Cariri";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;3
"250070 São João do Rio do Peixe";2;-;-;-;1;2;2;-;3;1;-;-;1;-;-;-;2;14
"251410 São João do Tigre";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"251420 São José da Lagoa Tapada";-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;1;5
"251430 São José de Caiana";-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;3
"251440 São José de Espinharas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"251450 São José de Piranhas";6;4;2;5;5;1;-;2;2;-;2;-;2;-;-;-;1;32
"251455 São José de Princesa";-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;3
"251460 São José do Bonfim";-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"251470 São José do Sabugi";-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;3
"251480 São José dos Cordeiros";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"251445 São José dos Ramos";-;1;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;5
"251490 São Mamede";-;-;2;-;1;2;-;-;-;1;-;-;-;1;-;-;-;7
"251500 São Miguel de Taipu";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"251510 São Sebastião de Lagoa de Roça";-;-;-;-;1;-;2;1;-;-;1;-;-;-;1;-;1;7
"251520 São Sebastião do Umbuzeiro";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;3
"251540 São Vicente do Seridó";1;-;5;1;3;-;2;1;-;-;2;1;-;1;-;-;-;17
"251530 Sapé";7;1;1;7;1;3;8;9;4;2;3;2;2;3;3;2;-;58
"251550 Serra Branca";-;-;-;2;1;-;1;2;-;1;1;-;-;2;-;-;-;10
"251560 Serra da Raiz";2;-;1;-;1;-;-;1;-;1;-;-;1;-;-;-;-;7
"251580 Serra Redonda";1;2;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;6
"251590 Serraria";1;2;1;-;-;1;-;1;-;1;1;1;1;-;-;1;-;11
"251593 Sertãozinho";-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;5
"251597 Sobrado";-;-;-;-;1;-;-;-;-;-;1;-;-;2;-;1;1;6
"251600 Solânea";8;4;3;5;1;1;5;2;2;2;1;-;2;3;3;-;1;43
"251610 Soledade";-;-;-;1;-;1;1;-;1;-;1;1;1;1;-;-;-;8
"251615 Sossêgo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"251620 Sousa";5;3;2;2;4;3;4;3;2;2;1;-;5;3;4;2;1;46
"251630 Sumé";1;-;-;1;-;-;-;1;-;-;1;1;1;-;2;-;-;8
"251640 Tacima";2;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;6
"251650 Taperoá";4;2;1;2;2;1;3;1;2;-;3;-;-;3;-;1;1;26
"251660 Tavares";-;1;5;2;-;1;-;2;4;1;-;-;1;2;-;-;-;19
"251670 Teixeira";-;-;6;2;1;3;5;2;-;2;2;-;2;-;-;2;-;27
"251675 Tenório";-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3
"251680 Triunfo";8;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;13
"251690 Uiraúna";-;-;2;1;-;1;-;1;1;-;-;2;-;-;1;1;-;10
"251700 Umbuzeiro";1;2;2;1;1;1;-;1;-;-;-;1;1;1;1;-;1;14
"251710 Várzea";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"251720 Vieirópolis";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"250550 Vista Serrana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"251740 Zabelê";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250000 Município ignorado - PB";-;4;5;4;-;-;-;1;-;-;-;-;-;1;-;-;-;15
"260005 Abreu e Lima";9;1;6;5;7;3;7;4;1;5;2;3;2;1;3;1;4;64
"260010 Afogados da Ingazeira";3;2;5;6;3;5;3;4;1;2;-;3;2;1;-;1;2;43
"260020 Afrânio";1;-;-;5;1;-;2;4;5;-;-;2;2;-;1;2;1;26
"260030 Agrestina";4;4;2;4;2;4;2;5;1;1;-;2;2;2;1;1;1;38
"260040 Água Preta";10;11;12;11;6;10;3;3;8;3;-;-;1;-;-;1;1;80
"260050 Águas Belas";1;3;6;4;2;1;6;3;2;5;2;3;4;5;5;4;3;59
"260060 Alagoinha";-;1;1;-;1;2;2;-;1;1;-;1;2;-;-;1;2;15
"260070 Aliança";8;5;6;2;5;3;1;7;3;3;2;1;3;4;2;-;2;57
"260080 Altinho";2;4;3;8;3;-;1;4;2;1;3;2;2;1;-;-;-;36
"260090 Amaraji";3;5;4;1;3;4;3;2;2;2;1;-;1;-;-;2;-;33
"260100 Angelim";-;1;1;-;-;2;1;-;1;1;-;-;-;-;1;-;-;8
"260105 Araçoiaba";-;3;2;5;1;3;2;-;4;1;1;-;-;2;-;-;3;27
"260110 Araripina";-;1;3;1;8;7;9;12;13;15;8;5;10;3;9;4;7;115
"260120 Arcoverde";11;11;5;7;9;6;6;5;4;8;4;3;5;2;2;1;1;90
"260130 Barra de Guabiraba";2;-;1;-;4;1;2;2;3;-;1;-;-;1;-;-;1;18
"260140 Barreiros";3;6;11;4;8;6;5;2;5;6;2;5;3;3;1;1;2;73
"260150 Belém de Maria";2;-;6;1;2;-;-;1;1;4;1;-;-;1;-;-;-;19
"260160 Belém do São Francisco";1;-;1;-;-;2;1;1;1;-;1;2;-;3;2;-;1;16
"260170 Belo Jardim";16;15;7;19;14;12;3;11;6;7;5;4;2;5;-;3;1;130
"260180 Betânia";1;-;-;2;2;1;1;1;1;-;-;6;2;-;-;1;-;18
"260190 Bezerros";4;5;8;6;6;1;5;-;4;1;3;-;1;-;-;3;1;48
"260200 Bodocó";10;5;3;6;4;1;6;2;9;2;3;3;-;-;-;5;1;60
"260210 Bom Conselho";9;7;8;6;5;7;4;5;7;4;7;4;3;4;3;3;3;89
"260220 Bom Jardim";7;-;3;3;5;2;1;4;4;3;3;2;1;2;2;-;-;42
"260230 Bonito";-;6;9;5;1;2;4;4;3;8;3;6;7;-;4;3;2;67
"260240 Brejão";4;5;1;3;4;1;-;-;2;-;1;1;-;-;-;-;-;22
"260250 Brejinho";2;-;-;-;-;-;1;1;1;-;-;2;-;1;-;2;-;10
"260260 Brejo da Madre de Deus";11;7;9;9;5;2;3;4;7;2;2;4;1;1;1;6;3;77
"260270 Buenos Aires";1;2;-;-;1;1;-;1;-;-;-;-;1;-;-;1;1;9
"260280 Buíque";3;2;3;8;4;10;4;8;5;5;13;5;6;5;6;2;3;92
"260290 Cabo de Santo Agostinho";25;18;19;16;20;11;18;11;11;9;6;8;7;11;7;6;5;208
"260300 Cabrobó";1;1;-;-;-;1;6;1;2;3;3;3;5;2;-;-;2;30
"260310 Cachoeirinha";3;2;5;5;5;1;2;1;-;4;-;2;-;3;4;1;1;39
"260320 Caetés";5;2;3;6;4;1;2;2;4;1;2;2;2;1;-;2;1;40
"260330 Calçado";2;3;2;2;2;-;1;-;1;1;-;1;-;-;-;-;-;15
"260340 Calumbi";-;1;2;-;-;-;-;1;-;-;1;-;-;1;-;-;-;6
"260345 Camaragibe";9;7;8;18;11;3;5;8;5;5;5;10;4;5;4;8;3;118
"260350 Camocim de São Félix";4;2;1;1;3;3;1;-;2;1;1;-;-;-;-;2;1;22
